Time(s)	Velocity_X(km/s)	Position_X(km)
0.0	0.0	7100.0
0.2	-1.0747496271358069e-06	7100.0
0.3	-1.6120742614588137e-06	7099.999999758182
0.8	-4.29864174007942e-06	7099.999998280579
0.8888888888888888	-4.776224595068335e-06	7099.999997877427
1.0	-5.373190730897846e-06	7099.999997313552
1.0	-5.373190681099993e-06	7099.999997313312
1.2	-6.4477173495488615e-06	7099.999996238674
1.3	-6.984930535772417e-06	7099.999995459586
1.8	-9.670940808549874e-06	7099.999991295695
1.8888888888888888	-1.0148424622843833e-05	7099.999990415009
2.0	-1.0745266965575263e-05	7099.99998925423
2.0	-1.0745266915839423e-05	7099.99998925399
2.2	-1.1819570764411801e-05	7099.999987104937
2.3	-1.2356672571915206e-05	7099.999985788691
2.8	-1.504212598571728e-05	7099.999978939069
2.888888888888889	-1.5519510820966626e-05	7099.999977580948
3.0	-1.6116229447656468e-05	7099.999975823389
3.0	-1.611622939798257e-05	7099.999975823149
3.2	-1.719031056537374e-05	7099.999972599903
3.3	-1.772730106347874e-05	7099.999970746611
3.8	-2.0412197964885438e-05	7099.999961211814
3.888888888888889	-2.088948388268939e-05	7099.999959376358
4.0	-2.1486078870330203e-05	7099.999957022142
4.0	-2.1486078820718192e-05	7099.9999570219015
4.2	-2.2559937445508395e-05	7099.9999527246855
4.3	-2.309681670347924e-05	7099.99995033446
4.8	-2.5781157438783137e-05	7099.999938115043
4.888888888888889	-2.6258344500689835e-05	7099.999935802351
5.0	-2.685481592621034e-05	7099.9999328516005
5.0	-2.685481587666012e-05	7099.999932851361
5.2	-2.792845209731467e-05	7099.999927480399
5.3	-2.846522018435817e-05	7099.999924553348
5.8	-3.114900509956468e-05	7099.999909649869
5.888888888888889	-3.162609336707124e-05	7099.999906860039
6.0	-3.2222441307336354e-05	7099.99990331288
6.0	-3.222244125784786e-05	7099.9999033126405
6.2	-3.329585521271726e-05	7099.999896868152
6.3	-3.383251219798285e-05	7099.99989340439
6.8	-3.651574163881054e-05	7099.999875817403
